卡牌ID,卡牌类型,暴露度,子类,卡名,外星观测/场景描述,提问或归属,备注
H-G14-S1,场景卡,绿,场景组14,默默记得,你随口说过的一件小事（喜欢吃什么/想要什么），爸妈竟然记住了，并且在某天悄悄实现了。,属于反应卡【🥹 启动感动反应】,
H-G14-S2,场景卡,绿,场景组14,有人站在你这边,你被冤枉或被为难的时候，有一个人（朋友/老师/家人）站出来替你说话，那一刻你不是一个人。,属于反应卡【🥹 启动感动反应】,
H-G14-S3,场景卡,绿,场景组14,看见爸妈的不容易,某个瞬间你突然看见了爸妈的辛苦或脆弱（偷偷揉肩/为难/疲惫），你第一次心疼他们，而不是只想着自己。,属于反应卡【🥹 启动感动反应】,理解陷阱：家长以为孩子被感动是因为收到了什么，其实最戳孩子的是「看见了你们的不容易」
H-G15-R,反应卡,黄,场景组15,🫠 启动疲惫反应（累瘫了、什么都不想干、只想躺平）,代表样本能量见底，不是情绪问题，就是身体和脑子都被掏空，只想瘫着谁也别理。,先亮出此卡，孩子秘密选下方某个场景，家长猜,新增组：身心耗竭，高年级学业社交双重过载
H-G15-S1,场景卡,黄,场景组15,排满的一天,从早到晚课程、作业、补习、兴趣班排得满满的，回到家你只想瘫在床上，连说话的力气都没有。,属于反应卡【🫠 启动疲惫反应】,
H-G15-S2,场景卡,黄,场景组15,装了一天,你在外面一整天都在维持某个形象（懂事/合群/开朗），回到家那一刻才敢卸下来，累的是心。,属于反应卡【🫠 启动疲惫反应】,理解陷阱：家长以为孩子累是身体累，其实是「在外面演了一天」的心累
H-G15-S3,场景卡,黄,场景组15,还有一堆没做完,事情一件接一件，永远做不完，你不是不想动，是已经被压到连开始的力气都没有了。,属于反应卡【🫠 启动疲惫反应】,
H-G16-R,反应卡,黄,场景组16,🙇 启动愧疚反应（觉得对不起谁、心里堵得慌）,代表样本因为自己做的某件事而感到对不起别人，那份自责在心里堵着，不太敢面对。,先亮出此卡，孩子秘密选下方某个场景，家长猜,新增组：愧疚/自责，区别于「焦虑/委屈」的向内归因
H-G16-S1,场景卡,黄,场景组16,辜负了期待,爸妈/老师那么信任你、对你那么好，你却没做到他们希望的样子，你觉得最对不起的就是他们。,属于反应卡【🙇 启动愧疚反应】,理解陷阱：家长以为孩子不在乎成绩，其实孩子心里最难受的正是「让你们失望了」
H-G16-S2,场景卡,黄,场景组16,把气撒在家人身上,你心情不好的时候，对最亲的人（爸妈/兄弟姐妹）发了脾气，事后你知道他们没做错什么，是你不对。,属于反应卡【🙇 启动愧疚反应】,
H-G16-S3,场景卡,黄,场景组16,没替朋友说话,朋友被为难的时候，你因为害怕没有站出来帮他，事后你一直在想「我当时要是说一句就好了」。,属于反应卡【🙇 启动愧疚反应】,
